-37.1,59.3
-37.4,59.7
-37.6,60.0
-37.8,60.3
-38.0,60.7
-38.3,61.0
-38.5,61.3
-38.7,61.7
-38.9,62.0
-39.1,62.4
-39.3,62.7
-39.6,63.1
-39.8,63.4
-40.0,63.8
-40.2,64.2
-40.4,64.5
-40.6,64.9
-40.8,65.3
-41.0,65.6
-41.2,66.0
-41.4,66.4
-41.6,66.8
-41.8,67.1
-42.0,67.5
-42.2,67.9
-42.4,68.3
-42.6,68.7
-42.8,69.1
-43.0,69.5
-43.2,69.8
-43.4,70.2
-43.6,70.6
-43.8,71.0
-43.9,71.4
-44.1,71.8
-44.3,72.3
-44.5,72.7
-44.7,73.1
-44.8,73.5
-45.0,73.9
-45.2,74.4
-45.3,74.8
-45.5,75.2
-45.7,75.6
-45.8,76.1
-46.0,76.5
-46.2,77.0
-46.3,77.4
-46.5,77.9
-46.6,78.3
-46.8,78.7
-46.9,79.2
-47.1,79.7
-47.2,80.1
-47.4,80.6
-47.5,81.1
-47.7,81.5
-47.8,82.0
-47.9,82.5
-48.1,83.0
-48.2,83.4
-48.3,83.9
-48.5,84.4
-48.6,84.9
-48.7,85.4
-48.8,85.9
-49.0,86.4
-49.1,86.9
-49.2,87.4
-49.3,87.8
-49.4,88.3
-49.5,88.9
-49.6,89.4
-49.7,89.9
-49.8,90.4
-49.9,90.9
-50.0,91.4
-50.1,91.9
-50.2,92.4
-50.3,93.0
-50.4,93.5
-50.4,94.1
-50.5,94.6
-50.6,95.1
-50.7,95.6
-50.7,96.2
-50.8,96.7
-50.9,97.3
-50.9,97.8
-51.0,98.3
-51.1,98.9
-51.1,99.4
-51.2,99.9
-51.2,100.5
-51.3,101.1
-51.3,101.6
-51.3,102.1
-51.4,102.7
-51.4,103.2
-51.5,103.8
-51.5,104.3
-51.5,104.9
-51.5,105.5
-51.6,106.0
-51.6,106.6
-51.6,107.2
-51.6,107.7
-51.6,108.3
-51.6,108.9
-51.6,109.4
-51.6,110.3
-51.6,111.0
-51.6,111.5
-51.6,112.1
-51.6,112.6
-51.6,113.2
-51.6,113.8
-51.5,114.3
-51.5,114.8
-51.5,115.4
-51.5,115.9
-51.4,116.5
-51.4,117.1
-51.3,117.6
-51.3,118.2
-51.3,118.7
-51.2,119.2
-51.2,119.8
-51.1,120.3
-51.1,120.9
-51.0,121.4
-50.9,122.0
-50.9,122.5
-50.8,123.0
-50.7,123.6
-50.7,124.1
-50.6,124.7
-50.5,125.2
-50.4,125.7
-50.4,126.2
-50.3,126.8
-50.2,127.4
-50.1,127.9
-50.0,128.4
-49.9,129.0
-49.8,129.5
-49.7,130.0
-49.6,130.5
-49.5,131.0
-49.4,131.5
-49.3,132.0
-49.2,132.5
-49.1,133.0
-48.9,133.5
-48.8,134.0
-48.7,134.5
-48.6,135.0
-48.4,135.5
-48.3,135.9
-48.2,136.4
-48.1,136.9
-47.9,137.4
-47.8,137.8
-47.6,138.3
-47.5,138.8
-47.4,139.3
-47.2,139.7
-47.1,140.2
-46.9,140.6
-46.8,141.1
-46.6,141.6
-46.5,142.0
-46.3,142.4
-46.1,142.9
-46.0,143.4
-45.8,143.9
-45.6,144.3
-45.5,144.7
-45.3,145.1
-45.1,145.6
-44.9,146.0
-44.8,146.4
-44.6,146.8
-44.4,147.3
-44.2,147.7
-44.1,148.1
-43.9,148.5
-43.7,148.9
-43.5,149.3
-43.3,149.7
-43.1,150.1
-42.9,150.5
-42.7,150.9
-42.6,151.3
-42.3,151.7
-42.2,152.1
-41.9,152.5
-41.7,152.9
-41.4,153.5
-41.1,154.0
-40.8,154.5
-40.5,155.0
-40.3,155.5
-40.0,156.0
-39.8,156.4
-39.6,156.7
-39.3,157.1
-39.1,157.4
-38.9,157.7
-38.7,158.1
-38.5,158.5
-38.2,158.8
-38.0,159.1
-37.8,159.5
-37.6,159.8
-37.4,160.1
-37.1,160.5
-36.9,160.8
-36.7,161.1
-36.4,161.4
-36.2,161.7
